Chronicles_1,w,וּמֽ͏ַעֲשֵׂ֔ה
Daniel,w,וְנֽ͏ֶחֱלֵ֙יתִי֙
Deuteronomy,w,הַמּֽ͏ַאֲכִ֨לְךָ֥
Deuteronomy,w,מִמּֽ͏ַעֲלֵ֣י
Deuteronomy,w,וְהֽ͏ַעֲבַטְתָּ֞
Deuteronomy,w,עֲבֽ͏ָדְךָ֖
Deuteronomy,w,דְּגֽ͏ָנְךָ֜
Deuteronomy,w,וּפֽ͏ָרְשׂוּ֙
Deuteronomy,w,וְקֽ͏ָרְבָה֙
Deuteronomy,w,וְלֽ͏ָאַלְמָנָ֔ה
Deuteronomy,w,יְקֽ͏ִימְךָ֨
Deuteronomy,w,וְדֽ͏ַאֲב֥וֹן
Esther,w,וַיּֽ͏ַהַרְג֣וּ
Exodus,w,וְאֽ͏ַהֲרֹ֔ן
Exodus,w,וַיּֽ͏ַעֲשׂ֖וּ
Exodus,w,וַיּֽ͏ַעֲשׂוּ־
Exodus,w,וַיּֽ͏ַעֲמֹ֖ד
Exodus,w,וַיּֽ͏ַאֲמִ֙ינוּ֙
Exodus,w,וְהֽ͏ַאֲזַנְתָּ֙
Exodus,w,הַמּֽ͏ַחֲלָ֞ה
Exodus,w,וַיּֽ͏ַעַמְד֖וּ
Exodus,w,וַיּֽ͏ַעֲל֖וּ
Exodus,w,בְּנֽ͏ֵי־
Exodus,w,בְּנֽ͏ֵי־
Ezekiel,w,וְלֽ͏ָקַחְתָּ֣
Ezekiel,q,וְאֽ͏ֵלַמָּ֔יו
Ezra,w,וַיּֽ͏ַעֲשׂוּ־
Genesis,w,לְהֽ͏ַחֲיֽוֹת׃
Genesis,w,בְּעֽ͏ַנְנִ֥י
Genesis,w,וְהֽ͏ַכְּנַעֲנִ֖י
Genesis,w,וְאֽ͏ֶעֱשֶׂ֨ה
Genesis,w,וַיּֽ͏ַעֲל֨וּ
Isaiah,w,וְהֽ͏ַחֲזָקָ֗ה
Isaiah,w,בְּרֽ͏ָע׃
Jeremiah,w,וְקֽ͏ָרָאתָ֩
Jeremiah,w,הַמּֽ͏ַעֲשִׂ֥ים
Job,w,וְ֝אֽ͏ַחֲוָתִ֗י
Jonah,w,הַקּֽ͏ִיקָי֖וֹן
Joshua,w,בֶּחֽ͏ָרָבָ֛ה
Joshua,w,וְהֽ͏ַמְאַסֵּ֗ף
Joshua,w,הָאֽ͏ָהֳלִ֖י
Joshua,w,וְאֽ͏ַחֲרֵי־
Joshua,w,וְנֽ͏ַהֲלָל֙
Joshua,w,וְהֽ͏ַחִתִּי֙
Judges,w,וַיּֽ͏ַחֲנ֖וּ
Kings_1,w,וַיּֽ͏ֶחֶרְדוּ֙
Kings_1,w,לְהֽ͏ַחֲרִימָ֑ם
Lamentations,w,וַיּֽ͏ַאֲבֶל־
Leviticus,w,וְהֽ͏ַעֲבַרְתָּ֞
Leviticus,w,וְהֽ͏ֶעֱמִ֥יד
Numbers,w,וְהֽ͏ַעֲמַדְתָּ֣
Numbers,w,לְטֽ͏ַהֲרָ֔ם
Numbers,w,וְהֽ͏ַחֲרַמְתִּ֖י
Numbers,w,וְהֽ͏ֶאֱבִ֥יד
Numbers,w,וְהֽ͏ַעֲמַדְתָּ֣
Proverbs,w,תֵדֽ͏ָע׃
Proverbs,w,אֱוֽ͏ִיל׃
Proverbs,w,צַדּֽ͏ִיק׃
Proverbs,w,צָרֽ͏ָה׃
Psalms,w,צַדּֽ͏ִיק׃
Psalms,w,עָלֽ͏ָי׃
Psalms,w,וַ֭יּֽ͏ַעֲבֹר
Psalms,w,פָּ֤קֽ͏ַדְתָּ
Psalms,w,וַ֭יּֽ͏ַדְרִיכֵם
Psalms,w,עָלֽ͏ָי׃
Samuel_1,w,וַיּֽ͏ִזְכְּרֶ֖הָ
